2025/1/1,ＡＰＰＬＥ　ＣＯＭ　ＢＩＬＬ,960,1,1,960
2025/1/7,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,3560,1,1,3560
2025/1/8,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,4386,1,1,4386
2025/1/8,Ａｍａｚｏｎ　Ｄｏｗｎｌｏａｄｓ,770,1,1,770
2025/1/8,メディケア生命　継続保険料,8565,1,1,8565
2025/1/11,ｐｏｖｏご利用料金,550,1,1,550
2025/1/11,ｐｏｖｏご利用料金,990,1,1,990
2025/1/12,ＳＢＩ証券投信積立サービス,2400,1,1,2400
2025/1/12,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,2900,1,1,2900
2025/1/14,Ａｍａｚｏｎ　Ｄｏｗｎｌｏａｄｓ,6072,1,1,6072
2025/1/15,ＡＰＰＬＥ　ＣＯＭ　ＢＩＬＬ,580,1,1,580
2025/1/16,イイネセイキュウサービス,5698,1,1,5698
2025/1/16,ｎｏｓｈ,4476,1,1,4476
2025/1/16,ヴアロラントシヨツプ,610,1,1,610
2025/1/16,ヴアロラントシヨツプ,4900,1,1,4900
2025/1/17,マクドナルドモバイルオーダー,1880,1,1,1880
2025/1/17,マクドナルドモバイルオーダー,280,1,1,280
2025/1/21,エバーグリーンリテイリング,12650,1,1,12650
2025/1/30,ｎｏｓｈ,4476,1,1,4476
2025/1/26,OPENAI *CHATGPT SUBSCR (SAN FRANCISCO),3481,1,1,3481
2025/1/5,３０７ゲンキー文京店,320,1,1,320
2025/1/6,３０７ゲンキー文京店,936,1,1,936
2025/1/8,３０７ゲンキー文京店,1740,1,1,1740
2025/1/9,３０７ゲンキー文京店,1527,1,1,1527
2025/1/10,アミカ,2099,1,1,2099
2025/1/12,３０７ゲンキー文京店,1699,1,1,1699
2025/1/15,３０７ゲンキー文京店,857,1,1,857
2025/1/16,３０７ゲンキー文京店,1161,1,1,1161
2025/1/16,３０７ゲンキー文京店,1265,1,1,1265
2025/1/19,３０７ゲンキー文京店,2165,1,1,2165
2025/1/23,すき家,1670,1,1,1670
2025/1/24,３０７ゲンキー文京店,2451,1,1,2451
2025/1/26,３０７ゲンキー文京店,1123,1,1,1123
2025/1/29,３０７ゲンキー文京店,1316,1,1,1316
2025/1/31,３０７ゲンキー文京店,1436,1,1,1436
2025/1/5,ガスト／ｉＤ,1630,1,1,1630
2025/1/23,ファミリーマート／ｉＤ,160,1,1,160
,,,,,93739
